Airport code,,District,Country
AWK,Wake Island,Wake Island,United States Minor Outlying Islands
AWM,Municipal,Arkansas,United States
AWN,Alton Downs,South Australia,Australia
AWP,Austral Downs,Northern Territory,Australia
AWR,Awar,Madang,Papua New Guinea
AWZ,Ahwaz,Khuzestan Province,Iran
AXA,Wallblake,Anguilla,Not found
AXB,Alexandria Bay,New York,United States
AXC,Aramac,Queensland,Australia
AXD,Demokritos Airport,Evros,Greece
AXE,Xanxere,Santa Catarina,Brazil
AXG,Algona,Iowa,United States
AXK,Ataq,Abyan Governorate,Yemen
AXL,Alexandria,Northern Territory,Australia
AXM,El Eden,Quindio Department,Colombia
AXN,Alexandria,Minnesota,United States
AXP,Springpoint Arpt,Acklins and Crooked Islands,Bahamas
AXR,Arutua,French Polynesia,Not found
AXS,Municipal,Oklahoma,United States
AXT,Akita,Akita Prefecture,Japan
AXU,Axum,Tigrai,Ethiopia
AXV,Neil Armstrong,Ohio,United States
AXX,Angel Fire,New Mexico,United States
AYA,Ayapel,Buenos Aires Province,Argentina
AYC,Ayacucho,CÃ©sar Department,Colombia
AYD,Alroy Downs,Northern Territory,Australia
AYE,AAF Heliport,Massachusetts,United States
AYG,Yaguara,CaquetÃ¡ Department,Colombia
AYH,RAF Station,England,United Kingdom
AYI,Yari,CaquetÃ¡ Department,Colombia
AYK,Arkalyk,Kostanay Region,Kazakhstan
AYL,Anthony Lagoon,Northern Territory,Australia
AYN,Anyang,Henan Province,China
AYO,Ayolas,Misiones Department,Paraguay
AYP,Yanamilla,Ayacucho Region,PerÃº
AYQ,Connellan,Northern Territory,Australia
AYR,Ayr,Queensland,Australia
AYS,Ware County,Georgia,United States
AYT,Antalya,Antalya Province,Turkey
AYU,Aiyura,Eastern Highlands,Papua New Guinea
AYW,Ayawasi,West Papua,Indonesia
AYZ,Zahns,New York,United States
AZB,Amazon Bay,Central,Papua New Guinea
AZD,Yazd,Yazd Province,Iran
AZG,Apatzingan,Michoacin,Mexico
AZI,Bateen,Abu Dhabi Emirate,United Arab Emirates
AZN,Andizhan,Andijon,Uzbekistan
AZO,Battle Creek Intl,Michigan,United States
AZP,Atizapan,Mexico,Mexico
AZR,Adrar,Adrar Province,Algeria
AZT,Zapatoca,Santander Department,Colombia
AZZ,Ambriz,Bengo Province,Angola
BAA,Bialla,West New Britain,Papua New Guinea
BAB,Beale AFB,California,United States
BAC,Barranca De Upia,North Dakota,United States
BAD,Barksdale AFB,Louisiana,United States
BAE,Barcelonnette,Provence-Alpes-CÃ´te-d'Azur,France
BAF,Barnes,Massachusetts,United States
BAG,Loakan,Benguet Province,Philippines
BAH,Bahrain International,Muharraq Governorate,Bahrain
BAI,Buenos Aires,Puntarenas,Costa Rica
BAJ,Bali,West New Britain,Papua New Guinea
BAK,Heydar Aliyev International,Indiana,United States
BAL,Batman,Batman Province,Turkey
BAM,Lander County,Nevada,United States
BAN,Basongo,Kasai-Occidental Province,Congo (Kinshasa)
BAO,Udorn,Udon Thani Province,Thailand
BAP,Baibara,AntioquÃ_a Department,Colombia
BAQ,E Cortissoz,AtlÃ¡ntico Department,Colombia
BAR,Baker AAF,RÃ_o Negro Province,Argentina
BAS,Balalae,Western,Solomon Islands
BAT,Barretos,SÃ£o Paulo,Brazil
